Tanggal,Lux,SolarIrradiation
2023-09-15,13050.0,106.97
2023-09-16,77266.0,633.33
2023-09-17,34114.0,279.62
2023-09-18,79600.0,652.46
2023-09-19,16210.0,132.87
2023-09-20,72216.0,591.93
2023-09-21,95920.0,786.23
2023-09-22,22179.0,181.8
2023-09-23,85722.0,702.64
2023-09-24,32744.0,268.39
2023-09-25,99130.0,812.54
2023-09-26,86091.0,705.66
2023-09-27,77930.0,638.77
2023-09-28,97409.0,798.43
2023-09-29,13500.0,110.66
2023-09-30,18169.0,148.93
2023-10-01,90262.0,739.85
2023-10-02,75035.0,615.04
2023-10-03,54430.0,446.15
2023-10-04,87700.0,718.85
2023-10-05,12706.0,104.15
2023-10-06,1284.0,10.52
2023-10-07,81975.0,671.93
2023-10-08,63048.0,516.79
2023-10-09,20223.0,165.76
2023-10-10,13400.0,109.84
2023-10-11,10110.0,82.87
2023-10-12,84989.0,696.63
2023-10-13,44797.0,367.19
2023-10-14,3062.0,25.1
2023-10-15,9637.0,78.99
2023-10-16,11400.0,93.44
2023-10-17,92600.0,759.02
2023-10-18,94898.0,777.85
2023-10-19,86132.0,706.0
2023-10-20,74150.0,607.79
2023-10-21,80833.0,662.57
2023-10-22,3432.0,28.13
2023-10-23,10400.0,85.25
2023-10-24,713.0,5.84
2023-10-25,47486.0,389.23
2023-10-26,706.0,5.79
2023-10-27,44432.0,364.2
2023-10-28,70090.0,574.51
2023-10-29,66304.0,543.48
2023-10-30,98830.0,810.08
2023-10-31,47320.0,387.87
2023-11-01,41529.0,340.4
2023-11-02,82061.0,672.63
2023-11-03,61011.0,500.09
2023-11-04,4231.0,34.68
2023-11-05,3047.0,24.98
2023-11-06,99370.0,814.51
2023-11-07,2845.0,23.32
2023-11-08,47518.0,389.49
2023-11-09,80575.0,660.45
2023-11-10,36620.0,300.16
2023-11-11,90650.0,743.03
2023-11-12,65312.0,535.34
2023-11-13,64170.0,525.98
2023-11-14,3747.0,30.71
2023-11-15,56710.0,464.84
2023-11-16,76286.0,625.3
2023-11-17,50530.0,414.18
2023-11-18,80896.0,663.08
2023-11-19,21166.0,173.49
2023-11-20,10870.0,89.1
2023-11-21,26219.0,214.91
2023-11-22,47900.0,392.62
2023-11-23,31162.0,255.43
2023-11-24,43667.0,357.93
2023-11-25,3793.0,31.09
2023-11-26,3439.0,28.19
2023-11-27,13311.0,109.11
2023-11-28,89490.0,733.52
2023-11-29,68042.0,557.72
2023-11-30,73247.0,600.39
2023-12-01,42322.0,346.9
2023-12-02,3505.0,28.73
2023-12-03,65309.0,535.32
2023-12-04,3262.0,26.74
2023-12-05,10110.0,82.87
2023-12-06,10110.0,82.87
2023-12-07,47860.0,392.3
2023-12-08,23784.0,194.95
2023-12-09,58022.0,475.59
2023-12-10,34579.0,283.43
2023-12-11,43688.0,358.1
2023-12-12,55620.0,455.9
2023-12-13,42908.0,351.7
2023-12-14,11010.0,90.25
2023-12-15,10110.0,82.87
2023-12-16,2306.0,18.9
2023-12-17,906.0,7.43
2023-12-18,96227.0,788.75
2023-12-19,25425.0,208.4
2023-12-20,52758.0,432.44
2023-12-21,1926.0,15.79
2023-12-22,923.0,7.57
2023-12-23,68419.0,560.81
2023-12-24,77119.0,632.12
2023-12-25,72303.0,592.65
2023-12-26,70417.0,577.19
2023-12-27,34519.0,282.94
2023-12-28,48088.0,394.16
2023-12-29,85193.0,698.3
2023-12-30,95929.0,786.3
2023-12-31,18776.0,153.9
2024-01-01,15733.0,128.96
2024-01-02,3550.0,29.1
2024-01-03,1449.0,11.88
2024-01-04,18000.0,147.54
2024-01-05,93255.0,764.39
2024-01-06,67256.0,551.28
2024-01-07,29620.0,242.79
2024-01-08,69350.0,568.44
2024-01-09,35292.0,289.28
2024-01-10,974.0,7.98
2024-01-11,76787.0,629.4
2024-01-12,78870.0,646.48
2024-01-13,2154.0,17.66
2024-01-14,3753.0,30.76
2024-01-15,44952.0,368.46
2024-01-16,78870.0,646.48
2024-01-17,24013.0,196.83
2024-01-18,80683.0,661.34
2024-01-19,2845.0,23.32
2024-01-20,94624.0,775.61
2024-01-21,43233.0,354.37
2024-01-22,62743.0,514.29
2024-01-23,91226.0,747.75
2024-01-24,60464.0,495.61
2024-01-25,3614.0,29.62
2024-01-26,4078.0,33.43
2024-01-27,4158.0,34.08
2024-01-28,76399.0,626.22
2024-01-29,29423.0,241.17
2024-01-30,4395.0,36.02
2024-01-31,37931.0,310.91
2024-02-01,26890.0,220.41
2024-02-02,75877.0,621.94
2024-02-03,68824.0,564.13
2024-02-04,40630.0,333.03
2024-02-05,1373.0,11.25
2024-02-06,2817.0,23.09
2024-02-07,56654.0,464.38
2024-02-08,25004.0,204.95
2024-02-09,87390.0,716.31
2024-02-10,1955.0,16.02
2024-02-11,83989.0,688.43
2024-02-12,51043.0,418.39
2024-02-13,98040.0,803.61
2024-02-14,43502.0,356.57
2024-02-15,50770.0,416.15
2024-02-16,21030.0,172.38
2024-02-17,78408.0,642.69
2024-02-18,37111.0,304.19
2024-02-19,81677.0,669.48
2024-02-20,67970.0,557.13
2024-02-21,25771.0,211.24
2024-02-22,22550.0,184.84
2024-02-23,95300.0,781.15
2024-02-24,72759.0,596.39
2024-02-25,26761.0,219.35
2024-02-26,43650.0,357.79
2024-02-27,40102.0,328.7
2024-02-28,27004.0,221.34
2024-02-29,3287.0,26.94
